,SG_PARTIDO,NM_URNA_CANDIDATO,QT_VOTOS_NOMINAIS,Porcentagem,Ano
0,PT,LULA,52772592,45.75215726171365,2002
1,PSDB,JOSÉ SERRA,33356997,28.919454487331425,2002
2,Não Votaram,Não Votaram,29214900,25.32838825095493,2002
