,SG_PARTIDO,NM_URNA_CANDIDATO,QT_VOTOS_NOMINAIS,Porcentagem,Ano
0,PRN,COLLOR,35090206,41.864965031863896,1989
1,PT,LULA,31075803,37.07551349034802,1989
2,Não Votaram,Não Votaram,17651584,21.05952147778808,1989
