,SG_PARTIDO,NM_URNA_CANDIDATO,QT_VOTOS_NOMINAIS,Porcentagem,Ano
0,PT,LULA,58295042,50.53994560589713,2006
1,PSDB,GERALDO ALCKMIN,37543178,32.54874014830479,2006
2,Não Votaram,Não Votaram,19506269,16.91131424579808,2006
